i,j,J_ij,var_i,var_j
0,1,22.423946263241334,R_s_b0,R_s_b1
6,13,19.848647362617754,R_ct_b0,α_1_b1
7,12,19.848647362617754,R_ct_b1,α_1_b0
1,12,-19.215395523970642,R_s_b1,α_1_b0
0,13,-19.215395523970642,R_s_b0,α_1_b1
0,9,-15.156278925818286,R_s_b0,Q_1_b0
6,12,9.924323681308877,R_ct_b0,α_1_b0
0,12,-9.60769776198532,R_s_b0,α_1_b0
4,5,6.055109695256183,L_b1,L_b2
3,5,3.0275548476280916,L_b0,L_b2
3,4,1.5137774238140458,L_b0,L_b1
5,14,0.18179748173043675,L_b2,α_1_b2
5,11,0.10165431306153992,L_b2,Q_1_b2
5,13,0.09089874086521837,L_b2,α_1_b1
4,14,0.09089874086521837,L_b1,α_1_b2
5,20,0.0746888862262754,L_b2,α_2_b2
5,10,0.05082715653076995,L_b2,Q_1_b1
4,11,0.05082715653076995,L_b1,Q_1_b2
5,17,0.05040125142098688,L_b2,Q_2_b2
3,14,0.045449370432609174,L_b0,α_1_b2
4,13,0.045449370432609174,L_b1,α_1_b1
5,12,0.045449370432609174,L_b2,α_1_b0
5,19,0.0373444431131377,L_b2,α_2_b1
4,20,0.0373444431131377,L_b1,α_2_b2
5,9,0.025413578265384974,L_b2,Q_1_b0
3,11,0.025413578265384974,L_b0,Q_1_b2
4,10,0.025413578265384974,L_b1,Q_1_b1
5,16,0.025200625710493425,L_b2,Q_2_b1
4,17,0.025200625710493425,L_b1,Q_2_b2
4,12,0.022724685216304576,L_b1,α_1_b0
3,13,0.022724685216304576,L_b0,α_1_b1
4,19,0.01867222155656885,L_b1,α_2_b1
3,20,0.01867222155656885,L_b0,α_2_b2
5,18,0.01867222155656885,L_b2,α_2_b0
3,10,0.012706789132692475,L_b0,Q_1_b1
4,9,0.012706789132692475,L_b1,Q_1_b0
4,16,0.0126003128552467,L_b1,Q_2_b1
5,15,0.0126003128552467,L_b2,Q_2_b0
3,17,0.0126003128552467,L_b0,Q_2_b2
3,12,0.011362342608152274,L_b0,α_1_b0
3,19,0.009336110778284425,L_b0,α_2_b1
4,18,0.009336110778284425,L_b1,α_2_b0
3,9,0.006353394566346225,L_b0,Q_1_b0
3,16,0.00630015642762335,L_b0,Q_2_b1
4,15,0.00630015642762335,L_b1,Q_2_b0
3,18,0.0046680553891422,L_b0,α_2_b0
5,8,-0.0033432002617107,L_b2,R_ct_b2
3,15,0.003150078213811675,L_b0,Q_2_b0
4,8,-0.00167160013085535,L_b1,R_ct_b2
5,7,-0.00167160013085535,L_b2,R_ct_b1
4,7,-0.000835800065427675,L_b1,R_ct_b1
3,8,-0.000835800065427675,L_b0,R_ct_b2
5,6,-0.000835800065427675,L_b2,R_ct_b0
3,7,-0.000417900032713825,L_b0,R_ct_b1
4,6,-0.000417900032713825,L_b1,R_ct_b0
3,6,-0.0002089500163569,L_b0,R_ct_b0
