Frequency_Hz,Zre_data_Ohm,Zim_data_Ohm,Zre_fit_Ohm,Zim_fit_Ohm,Re_residual_Ohm,Im_residual_Ohm
1000000.0,0.823876123919597,1.17199604647994,0.8729822892148513,1.179549393987282,0.049106165295254356,0.007553347507342156
891250.9375,0.805427889770639,1.04754236975887,0.8730285333394671,1.0509326381378816,0.06760064356882811,0.003390268379011685
794328.1875,0.774858159424224,0.943197629361083,0.8730793276271135,0.9362687602318649,0.09822116820288951,-0.006928869129218085
707945.6875,0.763868329148223,0.841393920181942,0.8731351208195018,0.8340370483081325,0.10926679167127884,-0.007356871873809512
630957.25,0.756942490287453,0.750195309126101,0.8731964060188363,0.7428818468662026,0.11625391573138333,-0.007313462259898373
562341.25,0.750765019333857,0.669071026269577,0.8732637251833724,0.661594453195865,0.12249870584951539,-0.007476573073712078
501187.15625,0.745136145886914,0.595249740876321,0.8733376739496655,0.589097190284306,0.12820152806275154,-0.006152550592015027
446683.53125,0.73856982491987,0.528101580202337,0.8734189068537659,0.5244292130920639,0.1348490819338959,-0.003672367110273078
398107.0625,0.736299990363385,0.469849875729668,0.8735081434860501,0.4667335295167793,0.1372081531226651,-0.0031163462128886987
354813.3125,0.734240385690963,0.421589852665974,0.8736061743362444,0.41524605252668606,0.13936578864528149,-0.006343800139287925
316227.6875,0.730463346184288,0.371771545405633,0.8737138688136449,0.3692849028248096,0.1432505226293569,-0.0024866425808234283
281838.15625,0.730378147391961,0.328839616947154,0.8738321825008382,0.3282417812018785,0.1434540351088771,-0.000597835745275499
251188.5,0.729382787429477,0.291030320707391,0.8739621653283952,0.29157396499859944,0.14457937789891817,0.000543644291208456
223871.96875,0.727964501138175,0.255970721866007,0.8741049720643222,0.25879677602533513,0.14614047092614724,0.0028260541593281285
199526.171875,0.727732441753661,0.226430212277512,0.8742618714996895,0.22947751103876143,0.14652942974602845,0.0030472987612494284
