beta,gamma,Expected_H
0.6283185482025146,2.8274333477020264,2.309479807312073
0.6283185482025146,2.8667032718658447,-62.51087550113505
0.6283185482025146,2.905973196029663,5.628057419670881
0.6283185482025146,2.9452431201934814,2.2980747587226915
0.6283185482025146,2.9845130443573,-3.943176962275402
0.6283185482025146,3.023782968521118,-9.905464597148125
0.6283185482025146,3.0630528926849365,9.192381269651491
0.6283185482025146,3.102322816848755,-17.557856003953702
0.6283185482025146,3.1415927410125732,-11.057628153408928
0.667588472366333,2.8274333477020264,2.5688831009584874
0.667588472366333,2.8667032718658447,-62.99321635008744
0.667588472366333,2.905973196029663,6.33484097318933
0.667588472366333,2.9452431201934814,2.383978397909914
0.667588472366333,2.9845130443573,-4.157237154617064
0.667588472366333,3.023782968521118,-10.299130362168626
0.667588472366333,3.0630528926849365,8.98446403827188
0.667588472366333,3.102322816848755,-17.690506347985092
0.667588472366333,3.1415927410125732,-12.035106583275365
0.7068583965301514,2.8274333477020264,2.8136712544298916
0.7068583965301514,2.8667032718658447,-62.94544537226761
0.7068583965301514,2.905973196029663,7.0019169245093735
0.7068583965301514,2.9452431201934814,2.439674459189405
0.7068583965301514,2.9845130443573,-4.324595082980409
0.7068583965301514,3.023782968521118,-10.569020295419591
0.7068583965301514,3.0630528926849365,8.655325583417493
0.7068583965301514,3.102322816848755,-17.65574033351197
0.7068583965301514,3.1415927410125732,-12.918208259855078
0.746128261089325,2.8274333477020264,3.038220966091444
0.746128261089325,2.8667032718658447,-62.38207406731067
0.746128261089325,2.905973196029663,7.613612708730898
0.746128261089325,2.9452431201934814,2.4638637305389466
0.746128261089325,2.9845130443573,-4.441056742877208
0.746128261089325,3.023782968521118,-10.708471879230729
0.746128261089325,3.0630528926849365,8.21339655651434
0.746128261089325,3.102322816848755,-17.45735298427803
0.746128261089325,3.1415927410125732,-13.686413627887873
0.7853981852531433,2.8274333477020264,3.23736695939499
0.7853981852531433,2.8667032718658447,-61.32499323570107
0.7853981852531433,2.905973196029663,8.155348187626828
0.7853981852531433,2.9452431201934814,2.455856558441269
0.7853981852531433,2.9845130443573,-4.503827236515576
0.7853981852531433,3.023782968521118,-10.71390469775065
0.7853981852531433,3.0630528926849365,7.66968529891551
0.7853981852531433,3.102322816848755,-17.101934603833456
0.7853981852531433,3.1415927410125732,-14.321586683417536
0.8246681094169617,2.8274333477020264,3.4061738864697872
0.8246681094169617,2.8667032718658447,-59.802962122697295
0.8246681094169617,2.905973196029663,8.613959856860674
0.8246681094169617,2.9452431201934814,2.4158078884578345
0.8246681094169617,2.9845130443573,-4.511352940984807
0.8246681094169617,3.023782968521118,-10.585209027697942
0.8246681094169617,3.0630528926849365,7.0376681733123405
0.8246681094169617,3.102322816848755,-16.598836880881777
0.8246681094169617,3.1415927410125732,-14.808370470152795
0.8639379739761353,2.8274333477020264,3.5404831348016614
0.8639379739761353,2.8667032718658447,-57.85072406369534
0.8639379739761353,2.905973196029663,8.978007001541641
0.8639379739761353,2.9452431201934814,2.3447361324062967
0.8639379739761353,2.9845130443573,-4.463423702209184
0.8639379739761353,3.023782968521118,-10.325574431451969
0.8639379739761353,3.0630528926849365,6.332805512100549
0.8639379739761353,3.102322816848755,-15.95985138529079
0.8639379739761353,3.1415927410125732,-15.134504351266514
0.9032078981399536,2.8274333477020264,3.6366797068708365
0.9032078981399536,2.8667032718658447,-55.50832011040268
0.9032078981399536,2.905973196029663,9.237995076263928
0.9032078981399536,2.9452431201934814,2.2444364466826983
0.9032078981399536,2.9845130443573,-4.361213913965003
0.9032078981399536,3.023782968521118,-9.941454122518053
0.9032078981399536,3.0630528926849365,5.572334251528218
0.9032078981399536,3.102322816848755,-15.198979388696557
0.9032078981399536,3.1415927410125732,-15.291176554131766
0.942477822303772,2.8274333477020264,3.6919689303341556
0.942477822303772,2.8667032718658447,-52.82013199379708
0.942477822303772,2.905973196029663,9.38678554636192
0.942477822303772,2.9452431201934814,2.1174496331575483
0.942477822303772,2.9845130443573,-4.207274125040158
0.942477822303772,3.023782968521118,-9.44238711540072
0.942477822303772,3.0630528926849365,4.774664403202792
0.942477822303772,3.102322816848755,-14.332054515873892
0.942477822303772,3.1415927410125732,-15.273274063605072
