noise_level,noise_percent,rep,success_flag,boundary_hit,SSE_noisy,SSE_clean,R_s,L,R_ct,Q_1,α_1,Q_2,α_2
0.0,0.0,0,False,False,627.4509701912363,627.4509701912363,1.5645304387538947,1.6751962940083498e-07,15.479568868890095,0.0027836144186858492,0.8148892482283399,0.0020611110751326384,0.9151333615189381
0.0,0.0,1,False,False,406.97821901173165,406.97821901173165,0.7694189147304095,1.3637087899279094e-07,15.399213329683754,0.0020916549699417117,0.8141127677883404,0.002111353371356886,0.8994410856651434
0.0,0.0,2,False,False,820.2610800907994,820.2610800907994,0.6317986159241551,1.982048301844459e-07,17.176698550136855,0.003851560946484607,0.8496571233858199,0.0021206244065636736,0.8963483575060527
0.0,0.0,3,False,False,867.4866474835588,867.4866474835588,1.102102949473486,1.8303177214371403e-07,22.396328213390294,0.0037334147816589945,0.8661102257508575,0.002122130677450339,0.9230181381477927
0.0,0.0,4,False,False,547.0300742130854,547.0300742130854,1.3374884052165334,2.3615016886393873e-07,22.86114818612909,0.0029768846079758497,0.8135443725030078,0.0021040694162152043,0.9262158584048188
0.0,0.0,5,False,False,511.7051518498608,511.7051518498608,0.9865967011398055,2.4888715375848126e-07,11.596404113893254,0.004229287483775767,0.7786347807491368,0.0021439897401492546,0.8859192472196322
0.005,0.5,0,False,False,1050.3870744193996,1008.4703094315913,1.0965672348478364,1.7195711165313693e-07,11.260821129608434,0.004639533012514821,0.7956354799500026,0.002170667679584896,0.8664309023420103
0.005,0.5,1,False,False,475.99044272001265,455.9219126929406,0.6630555486000752,1.6296174886543978e-07,19.543566178549426,0.002503512088947419,0.7727006672759105,0.0020939131121352258,0.9154807775377487
0.005,0.5,2,False,False,761.2438048238392,816.8746479584083,0.6388980027105787,2.3637775799612847e-07,15.769671087418148,0.003036952296069866,0.8072999305910982,0.0021936476479775934,0.8842133521518647
0.005,0.5,3,False,False,601.3972050729016,631.3634848413649,1.7858143881080828,1.8092302038636027e-07,19.925948824435167,0.0032429899092004115,0.865556667317275,0.002114776877701534,0.9162620898568155
0.005,0.5,4,False,False,2062.2826777306477,2047.7113398454787,1.2225119943392677,2.2653889048072446e-07,27.18268075311911,0.0047052930590084745,0.9066516009318268,0.00209926816577127,0.94230410702754
0.005,0.5,5,False,False,2170.7435303404877,2161.7932451654933,1.390272265934652,2.1472655366902e-07,23.47829028168914,0.002687127086520499,0.8003706662141301,0.0020076796243586664,0.9674563002276653
0.01,1.0,0,False,False,1064.8653740191107,1040.1288280768292,1.5741821631765887,1.7434651188670945e-07,16.430661399816426,0.005598300605213537,0.8348607285355272,0.002157867344182418,0.8879702145615291
0.01,1.0,1,False,False,1445.6246999288924,1379.8277751394246,1.1006769185264724,1.5752482565358132e-07,20.006931758984134,0.004130351703829025,0.8811809446963983,0.0021944546333242457,0.892102059839905
0.01,1.0,2,False,False,793.7236500699436,847.1367111098342,1.0444287248936552,2.2152357952728315e-07,22.960389844294586,0.0026431857528819904,0.8312543254567311,0.0021670265716932377,0.9160435290155375
0.01,1.0,3,False,False,745.9208310597746,651.2608035608979,1.0377018073359283,2.8166099346399416e-07,22.36122265354061,0.002544097755720223,0.7978135212944992,0.002087708645057538,0.9350415797568026
0.01,1.0,4,False,False,739.3722097669078,757.5590744730848,0.8142810041047912,2.963162257686045e-07,20.81403033579713,0.003406897356389023,0.867002779847081,0.0021278010155012573,0.9165766212782198
0.01,1.0,5,False,False,2266.073574580111,2075.992937060566,1.6552011806185514,1.4500767452212247e-07,14.312967604143031,0.00247832079290949,0.7259528357164875,0.0020165857670185186,0.9356014125900609
0.02,2.0,0,False,False,849.7248509001134,476.3386302288575,1.0612068803529715,1.5896725440066463e-07,14.935937313116867,0.002495213256400747,0.8880889486834158,0.0021294109896385265,0.9041869814024992
0.02,2.0,1,False,False,3235.9830842362035,3561.0922870855666,0.5915696435330514,1.4232500341834874e-07,45.96685127298886,0.0037126491233053687,0.8712095582752901,0.00226912036554688,0.9316330841838736
0.02,2.0,2,False,False,2321.6261218740096,2405.219162226186,0.9088285321899647,2.52493179959572e-07,17.735016561690514,0.004301311740198181,0.8155128433089178,0.002208357062786361,0.8653662323424598
0.02,2.0,3,False,False,429.7703247054132,550.8888100984923,0.8113836645476198,2.0633192385324316e-07,11.511775106474115,0.002736738163584708,0.8012893425486045,0.0021753472651493046,0.881665396783792
0.02,2.0,4,False,False,983.7403052645881,970.3366099666927,0.9749497718302038,1.4551065233813454e-07,17.127610257031822,0.004314727912418495,0.8777040968265837,0.0021143288854054503,0.9114342997804232
0.02,2.0,5,False,False,1262.8434125294057,1086.1985947959122,0.9312290705055307,1.618225876256952e-07,26.301226504454743,0.0018719207832569413,0.904884607055441,0.0020498026300655903,0.9531932381050849
0.03,3.0,0,False,False,3312.8031527146613,2353.5679579403145,1.0066229149353862,3.0320713974754106e-07,23.219290615605885,0.0028945042578955842,0.8054128240206979,0.00201017542643095,0.9670323277361328
0.03,3.0,1,False,False,1339.9053144422924,914.0766951217033,1.4710670763250435,1.7042845214823042e-07,22.50231667446362,0.0031826095869082784,0.8365535805208348,0.002042235331874791,0.9364185770661835
0.03,3.0,2,False,False,670.0324092395302,903.1043287220159,0.7802966263093627,1.9001006604593973e-07,17.722961259897247,0.004733475081589637,0.7829009764064483,0.002145431226659304,0.9153355269013312
0.03,3.0,3,False,False,1138.8708700281175,506.80166861004295,0.5531737254672993,1.8024560374625972e-07,17.880587843110945,0.002021421249626231,0.8251885922992883,0.0020956531876578977,0.9177144957806032
